PrintISSN,EISSN,Title,Publisher
,2405819X,International Journal of the Cardiovascular Academy,Galenos Yayincilik
14077841,25929356,Cels,University of Latvia Press
1458526X,,Studia Fennica Historica,Suomalaisen Kirjallisuuden Seura
2215910X,20275692,Suma de Negocios,Fundación Universitaria Konrad Lorenz
2077429X,20774303,Risk Governance and Control: Financial Markets and Institutions,Virtus Interpress
,21464138,International Journal of Economics and Financial Issues,Econjournals
3550311,27371662,Kalevalaseuran Vuosikirja,Suomalaisen Kirjallisuuden Seura
,21464405,International Review of Management and Marketing,Econjournals
12351946,,Studia Fennica Folkloristica,Suomalaisen Kirjallisuuden Seura
18108601,23122722,"Corporate Board: Role, Duties and Composition",Virtus Interpress
,27719855,ACS Applied Optical Materials,ACS American Chemical Society
,25787616,Heat Treatment and Surface Engineering,Informa:  Taylor & Francis
12351938,,Studia Fennica Linguistica,Suomalaisen Kirjallisuuden Seura
,26251825,Organic Materials,Thieme:  Georg Thieme Verlag
,27719316,Precision Chemistry,ACS American Chemical Society
,26289725,Chemistry-Methods,Wiley-Blackwell:  Wiley-VCH
26599139,26599198,"Veredes, Arquitectura y Divulgacion",Alberto Alonso Oro
,19834195,Revista IBRACON de Estruturas e Materiais,IBRACON - Instituto Brasileiro do Concreto
8541272,2614171X,Al-'Adalah,Universitas Islam Negeri Raden Intan Lampung
14585278,,Studia Fennica Litteraria,Suomalaisen Kirjallisuuden Seura
13353314,13387154,Vojenska Historia,Vojensky historicky ustav
25802240,25802259,Jurnal Ilmiah Ilmu Terapan Universitas Jambi,Universitas Jambi
7947410,,Journal of Community Medicine and Primary Health Care,Association of Public Health Physicians of Nigeria
2277954X,22779167,Indian Journal of Neurosurgery,Thieme Medical Publishers
,26737256,Photochem,MDPI Multidisciplinary Digital Publishing Institute
732540,2670014X,Historiallinen Arkisto,Suomalaisen Kirjallisuuden Seura
,27087212,Archivos Peruanos de Cardiologia y Cirugia Cardiovascular,Instituto Nacional Cardiovascular INCOR
,26737167,Physchem,MDPI Multidisciplinary Digital Publishing Institute
,26736918,Compounds,MDPI Multidisciplinary Digital Publishing Institute
19057725,29850959,New English Teacher,"Theodore Maria School of Arts, Assumption University"
,19835213,Revista Ibero-Americana de Ciencia da Informacao,Universidade de Brasilia
24104981,25081055,"Journal of Advocacy, Research and Education",Centre for Behaviour and Wellness Advocacy
,21847770,New Trends in Qualitative Research,Ludomedia
,26752719,Onomastica desde America Latina,Western Parana State University
,26587734,Galactica Media: Journal of Media Studies,Limited Liability Company Scientific Industrial Enterprise ?Genesis. Frontier. Science?
16965868,23410906,Miscelanea de Estudios Arabes y Hebraicos Seccion Arabe-Islam,Universidad de Granada
25447238,26574381,Logopaedica Lodziensia,Lodz University Press
10086706,,Chinese Journal of Primary Medicine and Pharmacy,Chinese Medical Association
23391162,25501011,Jurnal Arbitrer,Masyarakat Linguistik Indonesia (MLI) Universitas Andalas
,2673401X,Organics,MDPI Multidisciplinary Digital Publishing Institute
1622897,23271485,California History ,University of California Press
,27719197,iEnergy,Tsinghua University Press
3724123,24158860,Ukrainian Botanical Journal,"Other: Akademperiodyka Publishing House, NAS of Ukraine"
23535164,24500798,Prace Literaturoznawcze,Wydawnictwo Uniwersytetu Warmi?sko-Mazurskiego w Olsztynie
,26924609,DEN Open,Wiley-Blackwell
,27724859,"BenchCouncil Transactions on Benchmarks, Standards and Evaluations","KeAi Communications Co., Ltd."
16716841,,Journal of Zhengzhou University- Natural Science,Editorial Department of Journal of Zhengzhou University
,27710378,Ocean-Land-Atmosphere Research,American Association for the Advancement of Science (AAAS)
3540766,,Croatian Sports Medicine Journal,Croatian Olympic Committee
19927479,26176211,Anbar Journal of Agricultural Sciences,University Of Anbar
1658631X,23214856,Saudi Journal of Medicine and Medical Sciences,Wolters Kluwer: Medknow Publications
23224150,22520317,Journal of Dental Materials and Techniques,Mashhad University of Medical Sciences
25877755,2588042X,Russian Journal of Operative Surgery and Clinical Anatomy,Media Sfera
20726406,23095156,Russian Stomatology,Media Sphera Publishers
2713069X,27130703,National Health Care (Russia),I.M. Sechenov First Moscow State Medical University of the Ministry of Health of the Russian Federation (Sechenov University)
25876821,26869918,Russian Medical Inquiry,LLC «Meditsina-Inform»
27132552,27825671,Clinical Review for General Practice,LLC 'MMA 'MediaMedika'
23137053,2713055X,Obozrenie Psihiatrii i Medicinskoj Psihologii Imeni V.M. Bekhtereva,Federal State Budget Scientific Institution National Medical Research Center for Psychiatry and Neurology n.a. V.M. Bekhterev Ministry of Health of th
,29497523,Gastroenterology and Endoscopy,KeAI Publishing Group
20266790,23436921,Postgraduate Medical Journal of Ghana,Ghana College of Physicians and Surgeons
1005202X,,Chinese Journal of Medical Physics,Editorial Department of Chinese Journal of Medical Physics
16723538,,Journal of Fungal Research,Editorial Department of Journal ofFungal Research
,25820478,Journal of Contemporary Orthodontics,IP Innovative Publication Pvt. Ltd.
,25704206,ChemSystemsChem,Wiley-Blackwell:  Wiley-VCH
,27024288,Applied Research,Wiley-Blackwell:  Wiley-VCH
,28323637,Chemical and Biomedical Imaging,ACS American Chemical Society
,29498392,Sustainable Chemistry for the Environment,Elsevier
,2949754X,Materials Today Catalysis,Elsevier:  Academic Press
,27307727,Discover Materials,Springer
,29499178,Journal of Alloys and Metallurgical Systems,Elsevier
,26737248,Textiles,MDPI Multidisciplinary Digital Publishing Institute
21662681,26900408,Journal of Interdisciplinary Studies in Education,STAR Scholars
0073277X,,Historyka. Studies in Historical Methods,Polska Akademia Nauk
2233470X,22885072,Korean Journal of International Studies,Sang-Hwan Lee
,26992337,Journal of Family Research,University of Bamberg Press
20098618,20098782,Cardiovascular Innovations and Applications,Compuscript
,27665526,NEJM Evidence,Massachussetts Medical Society
13311611,18464068,KoG,Croatian Society for Geometry and Graphics
,28312597,Water Emerging Contaminants and Nanoplastics,OAE Publishing Inc.
,28345495,Seed Biology,Maximum Academic Press
18473466,18489923,Croatian Journal of Food Science and Technology,Faculty of Food Technology Osijek
,18048137,Casopis Zdravotnickeho Prava a Bioetiky,Institute of State and Law of the Czech Academy of Sciences
9720979,9744517,Applied Biological Research,ACS Publisher
,13063030,International Electronic Journal of Mathematics Education,Modestum LTD
,15599035,Journal of Language and Literacy Education,"University of Georgia, College Education"
1335596,15880230,Cardiologia Hungarica,Rosegger Ltd. member of the Promenade Publishing House
,18666124,Eludamos,Septentrio Academic Publishing
,19201818,Canadian Journal of Applied Linguistics,UNB Centre for Digital Scholarship
,20428812,Journal of Surgical Case Reports,Oxford University Press
,21496447,Nuclear Medicine Seminars,Galenos Yayincilik
,22042482,Journal of Philosophy in Schools,University of Birmingham Library Services
13876570,22150099,Social Indicators Research Series,Springer
1300686X,22978747,Mathematical and Computational Applications,MDPI Multidisciplinary Digital Publishing Institute
23094605,23094613,South Sudan Medical Journal,Health and Social Sciences Research Institute - South Sudan (HSSRI-SS)
213020,23256672,Italica,University of Illinois Press
10827161,23288612,Journal of Appalachian Studies,University of Illinois Press
,23365447,Evropsky Politicky a Pravni Diskurz,"BEROSTAV DRU?STVO Vlastislavova 562/15, 140 00, Praha 4 ? Nusle"
,23409290,Cuadernos de Politica Criminal,Dykinson
23944781,23944994,Indian Journal of Clinical Anaesthesia,IP Innovative Publication Pvt. Ltd.
17299721,24132659,Lengua y Sociedad,Universidad Nacional Mayor de San Marcos
0212260X,24448192,Bolleti de la Societat d'Historia Natural de les Balears,Societat d'Història Natural de les Balears
10000526,,Meteorological Monthly,China Meteorological Press
10008527,,Geoscience,China University of Geosciences
20839782,24500976,Adam Mickiewicz University Law Review,Faculty of Law and Administration Adam Mickiewicz University
,24588989,Natural and Engineering Sciences,Prof. Dr. Cemal Turan
,24774685,Indonesian Journal of Clinical Pathology and Medical Laboratory,Indonesian Association of Clinical Pathology and Laboratory Medicine
8544603,25023209,Al-Ahkam,Universitas Islam Negeri Walisongo Semarang
23564512,25030841,Brawijaya Law Journal,"Faculty of Law, Universitas Brawijaya"
16057295,25221175,Ukrainian Therapeutical Journal,Private Enterprise INPOL LTM
10014497,,Chinese Journal of Thoracic and Cardiovascular Surgery,Chinese Medical Journals Publishing House Co.Ltd
20851618,25281658,De Jure: Jurnal Hukum dan Syar'iah,Maulana Malik Ibrahim State Islamic University of Malang
10011439,,Journal of Clinical Cardiology,"Publishing House,Union Hospital,Wuhan"
1412436X,25409522,Al-Risalah: Forum Kajian Hukum dan Sosial Kemasyarakatan,Fakultas Syariah UIN Sulthan Thaha Saifuddin Jambi
,25656120,Open Journal of Astrophysics,Maynooth Academic Publishing
25801163,25809776,Amerta Nutrition,Universitas Airlangga
25884883,25886169,Journal of Horticulture and Postharvest Research,University of Birjand
25894420,25894439,Brill Research Perspectives in Popular Culture,Brill
25899198,25899201,International Journal of Divination and Prognostication,Brill
26208075,26208083,El-Usrah,"Islamic Family Law Department, Sharia and Law Faculty, Universitas Islam Negeri Ar-Raniry, Banda Aceh, Indonesia"
26340968,26340976,Air and Space Power Review,Royal Air Force
,26512661,Journal of Turkish Society for Rheumatology,Galenos Yayincilik
26549255,26560461,Jambura Law Review,Universitas Negeri Gorontalo
19976682,26639130,Revista Oficial del Poder Judicial,Marco Lovon
3551768,26702401,Suomalaisen Kirjallisuuden Seuran Toimituksia,Suomalaisen Kirjallisuuden Seura
5626129,26702584,Tietolipas,Suomalaisen Kirjallisuuden Seura
732559,26703866,Historiallisia Tutkimuksia,Suomalaisen Kirjallisuuden Seura
16616,,Acta Palaeontologica Sinica,Chinese Academy of Sciences
10000690,,Dili Kexue,Science Press (Kexue Chubanshe)
,26735210,Frontiers in Future Transportation,Frontiers Media S.A.
,26737140,Stresses,MDPI Multidisciplinary Digital Publishing Institute
10074929,,Water Saving Irrigation,The Editorial Office Of Water Saving Irrigation
,26737515,Frontiers in Tropical Diseases,Frontiers Media S.A.
,26738740,Frontiers in Radiology,Frontiers Media S.A.
,26738783,Biomass (Switzerland),MDPI Multidisciplinary Digital Publishing Institute
,26738880,Frontiers in Nuclear Medicine,Frontiers Media S.A.
,26739828,Frontiers in Urology,Frontiers Media S.A.
,26740826,Frontiers in Ophthalmology,Frontiers Media S.A.
,26873532,Turkish Journal of Child and Adolescent Mental Health,Galenos Yayincilik
,26889277,European Journal of Materials,Informa:  Taylor & Francis
26893967,26893975,Journal of Machine Learning for Modeling and Computing,Begell House
26900998,26901005,Probability and Mathematical Physics,Mathematical Sciences Publishers
,27048012,European Journal of Privacy Law and Technologies,Suor Orsola Benincasa Università Editrice
27150941,27150968,Journal of Law and Legal Reform,Universitas Negeri Semarang (UNNES)
27215032,27215040,Journal of Islamic Law,Institut Agama Islam Negeri (IAIN) Pontianak
27219976,27219984,Heart Science Journal,Universitas Brawijaya
,27241890,Ricerche Ellenistiche,Fabrizio Serra Editore
,27313786,"Journal of Anesthesia, Analgesia and Critical Care",Springer:  BioMed Central (BMC)
13004387,27575004,Community and Physician,Turkish Medical Association
,27681696,Battery Energy,Wiley-Blackwell
,27692558,Psychiatry and Clinical Neurosciences Reports,Wiley-Blackwell
27694879,27694887,Journal of Postsecondary Student Success,Florida State Open Publishing
,27696456,MedComm - Future Medicine,Wiley-Blackwell
,27696715,Frontiers of Mathematical Finance,American Institute of Mathematical Sciences
,27714683,Food Materials Research,Maximum Academic Press
,27726835,Energy Storage and Saving,KeAI Publishing Group
,27729478,iLIVER,Elsevier
,27731839,Nuclear Analysis,KeAI Publishing Group
,27754952,Journal of Public Health and Pharmacy,Pusat Pengembangan Teknologi Informasi dan Jurnal Universitas Muhammadiyah Palu
,28082591,Indonesian Journal of Socio-Legal Studies,FHUI Press (Badan Penerbit FHUI)
,28130146,Frontiers in Health Services,Frontiers Media S.A.
27834913,28211677,Journal of Codicology and Manuscript Research,The Scientific Association of Manuscript Research and Codicology of IRAN
25229680,,Phytotherapy Journal,Publishing House 'Helvetica'
16731506,,China Offshore Oil and Gas,Editorial Board of China Offshore Oil and Gas
29424801,29424828,De Gruyter Proceedings in Mathematics,Walter de Gruyter
20972563,29497132,Cancer Pathogenesis and Therapy,Elsevier
,29499119,Farming System,Elsevier
,29499291,Biogeotechnics,KeAI Publishing Group
,29534860,"Salud, Ciencia y Tecnologia - Serie de Conferencias","Editorial Salud, Ciencia y Tecnología"
9331883,1865939X,Sociolinguistica,Walter de Gruyter
18795196,1879520X,Children?s Well-Being: Indicators and Research,Springer
,2651205X,Maritime Technology and Research,Kasetsart University
27550761,2755077X,Digital Transformation and Society,Emerald
,2965730X,Journal of Lifestyle and SDG'S Review,ALUMNI IN
22174478,22174605,Biologia Nyssana,"University of Niš, Faculty of Sciences and Mathematics"
,26970643,Cuadernos de Estudios del Siglo XVIII,University of Oviedo
,26670267,JID Innovations,Elsevier
,27729060,Oral Oncology Reports,Elsevier
27307328,27307336,"Gender, Development and Social Change",Springer:  Palgrave Macmillan
27094723,27722724,Chip,Elsevier
26623447,26623455,Learning and Analytics in Intelligent Systems,Springer
,24087920,African Journal of Applied Research,Academy and Industry Research Collaboration Center
11203404,2035357X,Paradigmi,Societa Editrice il Mulino
5806712,19896166,Monteagudo,Universidad de Murcia
20399898,22814485,EQA,University of Bologna
,26667916,Cleaner Production Letters,Elsevier
26670135,26670127,Implementation and Replication Studies in Mathematics Education,Brill
,27726096,BJA Open,Elsevier
,26669102,JDS Communications,Elsevier
25911201,,Dileme: Razprave o Vprasanjih Sodobne Sovenske Zgodovine,Študijski center za narodno spravo
22815643,22839437,Petrarchesca,Fabrizio Serra Editore
11107642,27355039,Ain Shams Dental Journal,Ain Shams University
,23832754,Journal of Research in Dental and Maxillofacial Sciences,Islamic Azad University
,24237582,Avicenna Journal of Dental Research,Hamadan University of Medical Sciences
2333522X,29579538,Human-Animal Interactions,CABI
8733015,1647662X,"Millenium - Journal of Education, Technologies, and Health",Instituto Politécnico de Viseu
,29499194,Soil and Environmental Health,Elsevier
,29943191,Journal of Management World,Larry Meredith
2731636X,27316378,Critical Cultural Studies of Childhood,Springer:  Palgrave Macmillan
12066516,28315081,Journal of Finnish Studies,University of Illinois Press
2724573X,27851311,Quaderni di Storia Religiosa Medievale,Societa Editrice il Mulino
20884443,25800698,Jurnal Kajian Bali,Udayana University
,27568210,Journal of Advanced Research in Micro and Nano Engineering,Akademia Baru Publishing
,26246120,Signals,MDPI Multidisciplinary Digital Publishing Institute
19984456,24117773,Al-Qadisiyah Journal for Engineering Sciences,University of AL-Qadisiyah
18590020,26325330,Journal of Economics and Development,Emerald
26631334,26631342,Machinery and Energetics,National University of Life and Environmental Sciences of Ukraine
,26734052,Automation,MDPI Multidisciplinary Digital Publishing Institute
428469,22174753,Military Technical Courier,University of Defence in Belgrade
,2789634X,Journal of Studies in Science and Engineering,EngiScience Publisher
,25629034,International Conference on Thermal Engineering,Toronto Metropolitan University
19834713,21763275,Revista Brasileira de Historia da Ciencia,Sociedade Brasileira de História da Ciência
25900013,21983534,Bandung: Journal of the Global South,Brill
27241394,27241572,Knowledge Hegemonies in the Early Modern World,Fondazione Università Ca' Foscari
11958472,1929400X,Canadian Military History,LCSC Wilfrid Laurier Unviersity
29745276,29745748,Disclosing Collections,Fondazione Università Ca' Foscari
25892517,25892525,Secular Studies,Brill
27246620,27848507,"Fonti, Letterature, Arti e Paesaggi d?Europa",Fondazione Università Ca' Foscari
25899988,25899996,International Journal of Islam in Asia,Brill
24440809,2792176X,Studia Hegeliana,Universidad de Málaga
26669765,26669773,Comparative Political Theory,Brill
2225756X,22271295,Nauchnyi Dialog,Tsentr nauchnykh i obrazovatelnykh proektov
19424558,25782185,Ecumenica,Penn State University Press
,26867494,Two Centuries of the Russian Classics,A.M. Gorky Institute of World Literature of the Russian Academy of Sciences
22790748,23195541,Journal of Environmental Nanotechnology,Institute for Environmental Nanotechnology
10502092,,Traditional Dwellings and Settlements Review,International Association for the Study of Traditional Environments (IASTE)
25418297,25422421,Literary Fact,A.M. Gorky Institute of World Literature of the Russian Academy of Sciences
11217480,27857743,Spagna Contemporanea,Viella editrice
,27129934,Technology and Language,Peter the Great St. Petersburg Polytechnic University
26190311,27128512,Dostoevsky and World Culture. Philological Journal,A.M. Gorky Institute of World Literature of the Russian Academy of Sciences
9447652,,Zeitschrift fur Medizinische Ethik,Brill
26563754,26570165,Indonesian Journal of Halal Research,"Halal Center, UIN Sunan Gunung Djati Bandung"
,27738868,Journal of Architectural/Planning Research and Studies,"Faculty of Architecture and Planning, Thammasat University"
23646837,23646845,Industrial and Applied Mathematics,Springer
15630277,26174871,"KazNU Bulletin. Mathematics, Mechanics, Computer Science Series",Al-Farabi Kazakh National University
2049155,28152808,Problems of Infectious and Parasitic Diseases,National Center of Infectious and Parasitic Diseases
,23242426,Journal of Neurorestoratology,Elsevier
,26740052,Sports Psychiatry,Hogrefe Group
27377466,27377474,Zoonoses (Ireland),Compuscript
13907263,13909274,Estoa,Universidad de Cuenca
22978143,2297816X,Foundations of Materials Science and Engineering,Trans Tech Publications
,16588185,Journal of Umm Al-Qura University for Applied Sciences,Springer
25424793,25424327,Advances in Cosmetic Surgery,Elsevier
24236497,24236829,Iranian Journal of Neurosurgery,Guilan University of Medical Sciences
2302707X,25408828,Jurnal Biometrika dan Kependudukan,Universitas Airlangga
,27715965,Microbiome Research Reports,OAE Publishing Inc.
,27728927,Cell Insight,Elsevier
10274898,23043067,Nevrologicheskij Vestnik,Eco Vector LLC
,26671182,"Emerging Trends in Drugs, Addictions, and Health",Elsevier
,26344505,Environmental Research: Infrastructure and Sustainability,IoP Institute of Physics
,21932697,Environmental Systems Research,Springer
,27504867,River,Wiley-Blackwell:  Wiley-VCH
,26737086,Geographies,MDPI Multidisciplinary Digital Publishing Institute
,13139916,ZooNotes,"Plovdiv University 'Paisii Hilendarski', Bulgaria"
,27673375,PLOS Global Public Health,PLoS Public Library of Science
16918088,22559582,Environmental and Experimental Biology,The University of Latvia Press
,22092560,Journal of Biological Studies,Parnam Publication Co.
1608635X,26644479,Ukrainian Journal of Cardiology,National Scientific Center M.D. Strazhesko Institute of Cardiology
,26736616,Frontiers in Clinical Diabetes and Healthcare,Frontiers Media S.A.
27868346,27868354,Rehabilitation and Recreation,Publishing House 'Helvetica'
,29513146,Korean Journal of Community Nutrition,Korean Society of Community Nutrition
,26453835,Health Technology Assessment in Action,TUMS Tehran University of Medical Sciences
0121750X,23448393,Ingenieria (Colombia),Universidad Distrital Francisco José de Caldas
,26669986,Device,Elsevier:  Cell Press
16724747,,Journal of Transportation Engineering and Information,Southwest Jiaotong University
25233084,25233092,Sustainable Development Goals Series,Springer:  Palgrave Macmillan
,27070425,"East African Journal of Science, Technology and Innovation",East African Science and Technology Commission
1568698,22099409,Great Circle,Australian Association for Maritime History
17213673,1724045X,Fictions,Fabrizio Serra Editore
16209,,Acta Microbiologica Sinica,Acta Microbiologica Sinica Editorial Office
,26735601,Immuno,MDPI Multidisciplinary Digital Publishing Institute
10003754,,Petroleum Geology and Oilfield Development in Daqing,Editorial Department of Petroleum Geology & Oilfield Development in Daqing
10084495,,Mining Safety and Environmental Protection,Editoral Office of Mining Safety & Environmental Protection
,20731175,Centre for Applied Linguistics Research Journal,Arab Open University
18035663,25710281,Studia Slavica (Czech Republic),University of Ostrava
,26396025,Journal of Olympic Studies,University of Illinois Press
10632042,25897616,Simone de Beauvoir Studies,Brill
26629933,26629941,Why the Sciences of the Ancient World Matter,Springer
441791,24498637,Zapiski Historyczne,Towarzystwo Naukowe w Toruniu
18478050,18489117,Kroatologija,University of Zagreb
,21848645,Architecture Image Studies,AP2
23127562,26164949,Devenir (Peru),Patrick Rubin Aguilar
24054984,24054992,Journal of Japonisme,Brill
27131610,27131955,Journal of Visual Theology,Yaroslav-the-Wise Novgorod State University
27314359,27314367,Palgrave Studies in Science and Popular Culture,Springer:  Palgrave Macmillan
322970,23300841,Polish Review,University of Illinois Press
23973,2589997X,Al Abhath,Brill
2590190,23099585,Kronos: Southern African Histories,Dept of History and the Centre for Humanities Research at UWC
12301302,,Jezyk na Pograniczach,"Institute of Slavic Studies, Polish Academy of Sciences"
23523077,23523085,Asian Diasporic Visual Cultures and the Americas,Brill
3606503,21543682,Process Studies,University of Illinois Press
26332108,26332116,Journal of African Languages and Literary Studies,Adonis & Abbey Publishers
,27525082,Oxford Open Energy,Oxford University Press
25192396,2519447X,Mineralogical Journal (Ukraine),National Academy of Sciences
10988009,,Journal of the Association for Music and Imagery,Association for Music and Imagery
18709060,24486922,Estudios de Historia Novohispana,Universidad Nacional Autonoma de Mexico
22517960,24234419,Journal of Philosophical Investigations,University of Tabriz
26166275,26179822,Ukrainian Numismatic Annual,Central Ukrainian National Technical University
14126303,2549001X,Syariah: Jurnal Hukum dan Pemikiran,Antasari Islamic University
,16640136,TheoRemes,Association de la revue ThéoRèmes
222224,26915529,Visible Language,University of Cincinnati
21565414,21601267,Journal of Animal Ethics,University of Illinois Press
471542,19976720,Islas,Universidad Central 'Marta Abreu' de Las Villas
,25871862,Filistin Arastirmalari Dergisi,M Mustafa Kulu
18295746,25022075,Jurnal Pendidikan Agama Islam,Yogyakarta: Jurusan Pendidikan Agama Islam Fakultas Ilmu Tarbiyah dan Keguruan UIN Sunan Kalijaga Yogyakarta
7360770,21518009,Visual Arts Research,University of Illinois Press
28212215,28212223,Ancient Iranian Studies,Tissaphernes Archaeological Research Group
,26609037,"Clio. Revista de Historia, Ciencias Humanas y Pensamiento Critico.",Ediciones Clío
,27314642,Asian Journal of Philosophy,Springer
,7185065,Limite (Chile),Universidad de Tarapacá
,2444121X,Ademas de,Asociación de Amigos del Museo Nacional de Artes Decorativas
11123974,26006235,Traduction et Langues,University of Oran2 Mohamed Ben Ahmed
3501159,27441172,Prilozi (Bosnia and Herzegovina),University of Sarajevo - Institute of History
13068202,,Memleket: Siyaset Ve Yonetim,Yerel Yönetim Araştırma Yardım ve Eğitim Derneği (YAYED)/Local Government Research Aid and Education Association
28109090,28109104,Topics in Systems Engineering,World Scientific Publishing
12264717,22873880,Journal of Korean Institute of Communications and Information Sciences,The Korean Institute of Communications and Information Sciences (KICS)
,22876715,Journal of Ocean Engineering and Technology,The Korean Society of Ocean Engineers
20715528,25230018,Kufa Journal of Engineering,University of Kufa
25383604,25220101,International Journal of Energy and Water Resources,Springer
25201417,25201425,Economic Geography,Springer
,25909207,Poligramas,Universidad del Valle
,29568412,Raport Archeologiczny,Narodowy Instytut Dziedzictwa/National Institute of Cultural Heritage
,27729702,Energy Reviews,Elsevier
,2667095X,Renewable and Sustainable Energy Transition,Elsevier
22347658,22347666,Restorative Dentistry and Endodontics,Korean Academy of Conservative Dentistry
