PrintISSN,EISSN,Title,Publisher
,26735318,Psychiatry International,MDPI Multidisciplinary Digital Publishing Institute
1176293,27189201,Southeastern Philippines Journal of Research and Development,University of Southeastern Philippines
26346613,26346621,"Pop Music, Culture, and Identity",Springer:  Palgrave Macmillan
,22951210,Dragoman,Arabic Translators International
1645653X,2184173X,Ophiussa,"School of Arts, University of Lisbon"
,26148013,Nazhruna: Jurnal Pendidikan Islam,Institut Pesantren KH Abdul Chalim Mojokerto
27711749,27711757,Health Care Science,Wiley-Blackwell
,19963521,Revista Infodir,Editorial Ciencias Medicas
21971951,2197196X,Springer International Handbooks of Education,Springer
19709889,19709870,"TeMA Journal of Land Use, Mobility and Environment",FeDOA - Federico II University Press at Center for Libraries 'Roberto Pettorino'
,23686669,Quality Advancement in Nursing Education,Canadian Association of Schools of Nursing
23942746,23942754,Indian Journal of Obstetrics and Gynecology Research,IP Innovative Publication Pvt. Ltd.
2762366,15414477,"Imagination, Cognition and Personality",Sage
17588715,17588723,International Journal of Intelligent Engineering Informatics,Inderscience Publishers
,2624800X,Journal of Cybersecurity and Privacy,MDPI Multidisciplinary Digital Publishing Institute
,27310809,Discover Artificial Intelligence,Springer
2688299X,26883007,ACM Transactions on Evolutionary Learning and Optimization,ACM Association for Computing Machinery
,25901095,Archives of Rehabilitation Research and Clinical Translation,Elsevier
,23993529,Human Reproduction Open,Oxford University Press
22776729,23494174,Indian Journal of Canine Practice,"Dr. A. K. Srivastva, Secretary General of ISACP"
,2582631X,International Research Journal of Multidisciplinary Scope,Iquz Galaxy Publisher
,23480335,Journal of Applied Pharmaceutical Research,Creative Pharma Assent
,26675846,Experimed,Istanbul University Press
,20575696,Martial Arts Studies,Cardiff University Press
,16467752,Journal of History of Science and Technology,Walter de Gruyter: Sciendo
21897247,21897255,Fujita Medical Journal,Fujita Medical Society
,26736861,Frontiers in Rehabilitation Sciences,Frontiers Media S.A.
2734844X,27348458,Balneo and PRM Research Journal,"Romanian Association of Balneology, http://bioclima.ro/"
25873458,25873466,One Health and Risk Management,the Moldovan Association for Biosafety and Biosecurity
19328648,19328656,Global South,Indiana University Press
13380141,26444879,Studia Biblica Slovaca,Comenius University
23718366,23718374,Journal of Project Management (Canada),Growing Science
,27730786,Journal of Natural Pesticide Research,Elsevier
23139129,23139137,Austral Comunicacion,School of Communication-Austral University
20517483,20525907,Peking University Law Journal,Informa:  Taylor & Francis
23774657,23774665,"Corrections: Policy, Practice, and Research",Informa:  Taylor & Francis
,27047318,Rivista Italiana di Informatica e Diritto,CNR - Consiglio Nazionale delle Ricerche
,27239195,Ceridap,Diana Urania Galetta
2085627X,25286617,Al-Ahwal,"Al-Ahwal Research Center, Program Studi Hukum Keluarga Islam Fakultas Syariah Dan Hukum Uin Sunan Kalijaga Yogyakarta"
25231367,2663323X,African Human Rights Yearbook,Pretoria University Law Press
,27159698,Khazanah Hukum,UIN Sunan Gunung Djati Bandung
20644965,,ELTE Law Journal,ELTE University Press
20891970,26228645,El-Mashlahah,Sharia Faculty of State Islamic Institute (IAIN) Palangka Raya
19786670,25794167,Al-Manahij: Jurnal Kajian Hukum Islam,Universitas Islam Negeri Prof. K.H. Saifuddin Zuhri Purwokerto
8520941,25490907,Yustisia,"Faculty of Law, Universitas Sebelas Maret"
26832038,25940082,Revista de Estudios en Derecho a la Informacion,Universidad Nacional Autonoma de Mexico
10969411,2769822X,Dental Anthropology,OpenJournals Publishing
20968930,,Space-Integrated-Ground Information Networks,China InfoCom Media Group
,27120562,Sustainable Engineering and Innovation,Research and Development Academy
,26895595,Applied AI Letters,Wiley-Blackwell
13133330,28154002,Mathematics and Education in Mathematics,Union of Bulgarian Mathematicians
,26367467,International Journal of Maps in Mathematics,Bayram Sahin
19768605,22881433,Korean Journal of Mathematics,The Kangwon-Kyungki Mathematical Society
5777518,,Journal of Plant Protection,Editorial Board of Journal of Plant Protection
,27694615,Fruit Research,Maximum Academic Press
,27690520,Vegetable Research,Maximum Academic Press
,29573645,Social and Health Sciences,University of South Africa Press
,26674432,Journal of Universal History Studies,Sabit Dokuyan
27692159,27314375,Droplet,Wiley-Blackwell
,23644575,Journal of Shipping and Trade,Springer
3318443,24678821,Nigerian Journal of Technology,"Faculty of Engineering, University of Nigeria"
,27094715,GigaByte,Oxford University Press
26673762,26673762,Advances in Ophthalmology Practice and Research,Elsevier
10064990,,Inorganic Chemicals Industry,Editorial Office of Inorganic Chemicals Industry
,27194523,Rheumatology and Immunology Research,Walter de Gruyter
16628969,16620356,Advances in Science and Technology,Trans Tech Publications
,26884062,Small Structures,Wiley-Blackwell: Wiley-VCH
,21730040,Re-visiones,Universidad Complutense de Madrid
0585492X,17241588,Studi Ispanici,Fabrizio Serra Editore
,27918564,Mathematical Modelling and Numerical Simulation with Applications,Mehmet Yavuz
2475742X,,CPSS Transactions on Power Electronics and Applications,China Power Supply Society
22316094,,Indian Journal of Information Sources and Services,The Research Publication
24096121,25221361,Physical Sciences and Technology,Al-Farabi Kazakh National University
23570326,23570334,Microbial Biosystems,Arab Society for Fungal Conservation
1674991X,,Journal of Environmental Engineering Technology,"Editorial Board, Journal of Environmental Engineering Technology"
10010890,,Petroleum Drilling Techniques,Science Press
27546322,,Offshore Site Investigation and Geotechnics,Society for Underwater Technology
,26874814,Montes Taurus Journal of Pure and Applied Mathematics,MTJPAM Turkey
,26314444,Compositionality,Arxiv-overlay journal
10058206,,Environmental Sanitation Engineering,Editorial Office of Environmental Sanitation Engineering
,25152564,Contact,Sage
,26330407,Immunometabolism,Wolters Kluwer:  Lippincott Williams and Wilkins
,2665945X,Current Research in Neurobiology,Elsevier
,27723925,Addiction Neuroscience,Elsevier
10170499,24124265,Studia Historiae Ecclesiasticae,Church History Society of Southern Africa
20728174,23073640,Revista del Nacional (Itaugua),"Paraguay, Ministerio de Salud Pública y Bienestar Social, Centro Médico Nacional-Hospital Nacional"
,26883600,Local Development and Society,Informa:  Taylor & Francis
2100452,23398256,Els Marges,"L'Avenç, S. L."
,26410478,Critical Times,Duke University Press
14120992,2527922X,Millah,Program Studi Ilmu Agama Islam Program Magister
,27684830,Research in Mathematics,Informa:  Taylor & Francis
,26759225,Biological Models Research and Technology Journal,Brazilian society of science in laboratory animals
4395689,26051729,Hormigon y Acero,ASOCIACIÓN ESPAÑOLA DE INGENIERÍA ESTRUCTURAL (ACHE)
,27658031,BME Frontiers,American Association for the Advancement of Science
23224398,23224401,Journal of Pediatrics Review,Negah Scientific Publisher
,26325012,Sleep Advances,Oxford University Press
,26942453,ACS Polymers Au,ACS American Chemical Society
16732383,,Journal of Henan University of Technology -Natural  Science Edition,Editorial  Department of  Journal of Henan University of  Technology
23930624,23931078,Cultural Intertexts,Casa Cartii de Stiinta
9927654,22214038,Documents pour l?Histoire du Francais Langue Etrangere ou Seconde,OpenEdition
22111921,2211193X,SpringerBriefs in Education,Springer
,26884682,Journal of Race Ethnicity and the City,Informa:  Taylor & Francis
20970064,26941589,Journal of Remote Sensing (United States),American Association for the Advancement of Science
22835768,24210277,Tre Corone,Fabrizio Serra Editore
2543344X,25433431,Journal d'Imagerie Diagnostique et Interventionnelle,Elsevier
,2612226X,Studi AISV,Officinaventuno
,27725987,Psychiatry Research Communications,Elsevier
,21831750,Aniki: Portuguese Journal of the Moving Image,AIM (Portuguese Association of Researchers of the Moving Image)
2610945X,26109441,Filologie Medievali e Moderne: Serie Occidentale and Serie Orientale,Fondazione Università Ca' Foscari
26108879,26109433,Eurasiatica,Fondazione Università Ca' Foscari
15074153,27194191,Napis,Wydawnictwo Instytutu Bada? Literackich PAN (Publishing House of the Institute of Literary Research of the Polish Academy of Sciences)Nauk
,19187351,Analecta Hermeneutica,International Institute for Hermeneutics
,26187183,Construction Materials and Products,Belgorod State Technological University named after V.G. Shukhov
13041096,13041088,Turkish Journal of Public Health,Association of Public Health Specialists
16729854,,Marine Origin Petroleum Geology,Editorial Department of Marine Origin Petroleum Geology
20969120,,Journal of Gems and Gemmology,"Editorial Department of Journal of Gems and Gemmology,China University of Geosciences"
,29497531,Innovation and Green Development,Elsevier
26662353,25899449,Global Journal on Quality and Safety in Healthcare,Innovative Healthcare Institute
,25203134,Texila International Journal of Public Health,Texila International Journal
,26618001,npj Urban Sustainability,Springer:  Nature Publishing Group
10096906,,Chinese Journal of Nautical Medicine and Hyperbaric Medicine,Chinese Medical Journals Publishing House Co.Ltd
,23796227,Computational Psychiatry,Ubiquity Press
,24589675,Spiritual Psychology and Counseling,Halil Eksi
10032053,,Studies in Science of Science,Editorial  Department  of 'Studies in Science of Science'
,27738752,ASEAN Journal of Scientific and Technological Reports,THAKSIN UNIVERSITY
25903284,25903276,Political Anthropological Research on International Social Sciences,Brill
,26667991,Applied Corpus Linguistics,Elsevier
,23920718,e-Scripta Romanica,Lodz University Press
,20509863,Journal of Open Psychology Data,Ubiquity Press
8548919,25031023,Jurnal Media Hukum,Universitas Muhammadiyah Yogyakarta
10016880,,Tianran Chanwu Yanjiu yu Kaifa,Science Press (China)
1000890X,,China Rubber Industry,Editorial Office of China Rubber Industry
,26928388,IEEE Journal of Microwaves,IEEE Institute of Electrical and Electronics Engineers
,26008084,Applications of Modelling and Simulation,ARQII PUBLICATION
,26957566,Cronica Tributaria,Instituto de Estudios Fiscales
,23328886,Bioelectronic Medicine,Springer:  BioMed Central (BMC)
,25901826,Environmental Chemistry and Ecotoxicology,KeAI Publishing Group
10010629,,Pratacultural Science,Editorial Office of Pratacultural Science
15609588,24129097,Russian Journal of Skin and Venereal Diseases,Eco-Vector LLC
26219980,26218720,Teknomekanik,Universitas Negeri Padang
,27725014,Human Factors in Healthcare,Elsevier
26164868,,Clinical and Preventive Medicine,State Institution of Science «Research and Practical Center of Preventive and Clinical Medicine» State Administration Department
1004874X,,Guangdong Agricultural Sciences,Guangdong Academy of Agricultural Sciences
22824863,22833153,Azimuth,Inschibboleth edizioni
26771640,26770660,RussianStudiesHu,The Foundation for Russian Language and Culture
25169084,25169092,Early Middle English,Arc Humanities Press
15085430,27197689,Systemy Logistyczne Wojsk,"Institute of Logistics, Faculty of Security, Logistics and Management, Military University of Technology"
14513455,26200163,Philotheos,Gnomon Center for the Humanities
15365514,23337168,Ghana Studies,University of Wisconsin Press
1829006X,,Bulletin of Stomatology and Maxillofacial Surgery,Akra LLC
23035005,23035013,Economics - Innovative and Economics Research Journal,Walter de Gruyter: Sciendo
20674252,25016334,Argument (Romania),Editura Universitar? ?Ion Mincu?
22260838,24143588,Neurology and Neurosurgery. Eastern Europe,Publishing Private Unitary Enterprise 'Professionalnye Izdaniya'
730548,19446454,Harvard Journal of Asiatic Studies,Harvard-Yenching Institute
20670621,22481907,Schutzian Research,Zeta Books
,21924449,CEN Case Reports,Springer
26108844,26109360,Biblioteca di Rassegna Iberistica,Fondazione Università Ca' Foscari
22263322,24143596,Otorhinolaryngology Eastern Europe,Publishing Private Unitary Enterprise 'Professionalnye Izdaniya'
,26901803,Aging Pathobiology and Therapeutics,Ant Publishing Corporation
,25615637,Undergraduate Research in Natural and Clinical Sciences and Technology Journal,Undergraduate Research in Natural and Clinical Sciences and Technology (URNCST) Journal
22108866,27243362,Lexis Supplementi,Fondazione Università Ca' Foscari
,26911191,JASA Express Letters,AIP American Institute of Physics
16111052,23650877,Particle Acceleration and Detection,Springer
16716450,,Chinese Journal of Difficult and Complicated Cases,Chinese Medical Doctor Association
10017097,,Chinese Journal of Nephrology,"Chinese Medical Journals Publishing House Co. , Ltd."
18225047,25387294,Athena: Filosofijos Studijos,Lithuanian Culture Research Institute
10825983,21632758,Military Operations Research,Military Operations Research Society
19292260,19292279,Journal of Cancer Research Updates,Neoplasia Research
16874072,20903308,Journal of Applied Veterinary Sciences,Egyptian society for Animal Management
26108976,26109395,Ca' Foscari Japanese Studies,Fondazione Università Ca? Foscari - ECF
23569174,23569182,Journal of Bioscience and Applied Research,Society of pathological biochemistry and hematology
,26184788,Notas sobre Mamiferos Sudamericanos,Sociedad Argentina para el Estudio de los Mamíferos (SAREM)
10006621,,Chinese Journal of Antituberculosis,Chinese Journal of Antituberculosis Publishing House
1004714X,,Chinese Journal of Radiological Health,Editorial Department of Chinese Journal of Radiological Health
20546238,20546246,Journal of Economic and Administrative Sciences,Emerald
20970714,,Aerospace Technology,Beijing HIWING Scientific and Technology Information Institute
,15782549,Archivos de Prevencion Riesgos Laborales,Associació Catalana de Salut Laboral
25317288,3949001,Medicina nei Secoli,Universita degli Studi di Roma 'La Sapienza'
2640205X,26402068,American Economic Review - Insight,American Economic Association
803545,,Rocznik Orientalistyczny,The Committee of Oriental Studies of the Polish Academy of Sciences and The Publishing House ELIPSA
20967993,,Journal of Clinical Otorhinolaryngology Head and Neck Surgery,Editorial Department of Journal of Clinical Otorhinolaryngology Head and Neck Surgery
11102179,25370979,Egyptian Journal of Medical Microbiology,Egyptian Society for Medical Microbiology
,26520397,Transport Findings,Network Design Lab
,26884089,Biophysics Reviews,AIP American Institute of Physics
,27725294,Brain and Spine,Elsevier
24508543,2353317X,Colloquia Germanica Stetinensia,University of Szczecin Press
843296,,Yad Vashem Studies,Yad Vashem
,27998010,Journal of Yeungnam Medical Science,"Yeungnam University College of Medicine, Yeungnam University Institute of Medical Science"
29464471,2946448X,Palgrave Studies in Utopianism,Springer:  Palgrave Macmillan
26628422,26628430,Challenges in Physics Education,Springer
2137100,22549412,Actualidad Civil,Wolters Kluwer
26745739,26745755,Revista da Defensoria Publica do Distrito Federal,Defensoria Pública do Distrito Federal
23063734,19955855,Vienna Journal on International Constitutional Law,Walter de Gruyter
,23188081,Revista Eletronica Direito e Sociedade,Universidade LaSalle - Unilasalle
23648317,23648325,Modern China and International Economic Law,Springer
,27856380,Rivista di Diritto Internazionale Privato e Processuale,Wolters Kluwer
20821743,,Polski Proces Cywilny,Wolters Kluwer
8609411,27193586,Vox Patrum,John Paul II Catholic University of Lublin
2537026X,25370278,Journal of the General Union of Arab Archaeologists,the Arab Council of the General Union of Arab Archaeologists
25244132,25244140,Studies in Iranian Politics,Springer:  Palgrave Macmillan
,25716182,Plasma,MDPI Multidisciplinary Digital Publishing Institute
25233343,25233351,Necas Center Series,Springer:  Birkhauser
,27324303,Immunotherapy Advances,Oxford University Press
,26734095,Surgeries ( Switzerland),MDPI Multidisciplinary Digital Publishing Institute
,26344068,Oxford Open Climate Change,Oxford University Press
,26334356,Materials for Quantum Technology,IoP Institute of Physics
1009265X,,Advanced Textile Technology,Periodical Agency of Zhejiang Sci-Tech University
16413792,26574837,Folia Toruniensia,Provincial Public Library ? the Copernicus Library in Torun
20970242,26673797,Biomimetic Intelligence and Robotics,Elsevier
20958676,,Southern Energy Construction,"Energy Observer Magazine Co., Ltd."
2561492,,Marine Geology and Quaternary Geology,Science Press (China)
,26666022,American Heart Journal Plus: Cardiology Research and Practice,Elsevier
23202068,23202076,Journal of Advanced Oral Research,Sage
26454661,25887343,Geoconservation Research,Islamic Azad University
,26687542,Hungarian Studies Yearbook,Walter de Gruyter: Sciendo
61646,,Boletin de la Biblioteca de Menendez Pelayo,Sociedad Menéndez Pelayo
10035257,27730751,World Journal of Acupuncture-Moxibustion,Elsevier
3793575,23570288,Egyptian Journal of Agronomy,National Information and Documentation Center (NIDOC)
22256032,25893025,Tropical Cyclone Research and Review,KeAI Publishing Group
16414381,2391677X,Zeszyty Teoretyczne Rachunkowosci,The Accountants Association in Poland
23931809,23931817,Journal of Critical Care Medicine,"Universitatea de Medicina, Farmacie Stiinte si Tehnologie 'George Emil Palade' din Targu Mures"
16744152,,Chinese Journal of General Practice,Magazine House of 'Chinese Journal of General Practice'
25857088,26446359,Bratislava Law Review,"Comenius University Bratislava, Faculty of Law"
,27171612,Journal of the Iranian Mathematical Society,Iranian Mathematical Society
10032797,,"Documentation, Information and Knowledge","Editorial Office of Documentation, Information & Knowledge"
,26343916,European Heart Journal - Digital Health,Oxford University Press
22888128,23835001,Journal of Liver Cancer,The Korean Liver Cancer Association
,27743047,Journal of Multidisciplinary Applied Natural Science,Pandawa Institute
18299067,24606588,Mazahib Jurnal Pemikiran Hukum Islam,Fakultas Syariah Universitas Islam Negeri Sultan Aji Muhammad Idris
,25954431,Revista Brasileira de Meio Ambiente,Reativar Ambiental
20394705,20394713,Journal of Xenobiotics,MDPI Multidisciplinary Digital Publishing Institute
,25326740,Occhiali - Rivista sul Mediterraneo Islamico,Università della Calabria
20970323,27725715,ChemPhysMater,KeAI Publishing Group
23976721,2397673X,Journal of Popular Music Education,Intellect Ltd.
22175369,22175660,Food and Feed Research,"University of Novi Sad, Institute of Food Technology"
26894092,26894084,Journal of African Development,Penn State University Press
3239748,28153391,Istoricheski Pregled,Institute for Historical Studies at the BAS
13894633,,Max Planck Yearbook of United Nations Law,Brill:  Martinus Nijhoff
23519606,,International Water Law Series,Brill:  Martinus Nijhoff
2405934X,,Maritime Cooperation in East Asia,Brill:  Martinus Nijhoff
24684163,,Reforming the United Nations,Brill:  Martinus Nijhoff
22133399,,Mediterranean Art Histories,Brill
15732193,18796044,"Consciousness, Literature and the Arts",Brill: Rodopi
18718787,18795889,Studies in Intermediality,Brill: Rodopi
24522961,,Languages of Asia,Brill
15715647,18795870,Marcel Proust Aujourd'hui,Brill: Rodopi
15724344,18795862,"Nature, Culture and Literature",Brill: Rodopi
22115846,22115854,Studies in Environmental Humanities,Brill: Rodopi
22136010,25897438,Library of Contemporary Jewish Philosophers,Brill
13883720,18758118,Yearbook of the Research Centre for German and Austrian Exile Studies,Brill: Rodopi
9238298,,Hague Yearbook of International Law,Brill:  Martinus Nijhoff
1686526,,International Labour Law Reports,Brill:  Martinus Nijhoff
3915107,,Italian Yearbook of International Law,Brill
9208399,,Supplementum Epigraphicum Graecum,Brill
13699865,,Yearbook of the European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment,Brill:  Martinus Nijhoff
13842935,,Yearbook of Islamic and Middle Eastern Law,Brill:  Martinus Nijhoff
13861972,,Palestine Yearbook of International Law,Brill:  Martinus Nijhoff
13883569,,Word and Image Interactions,Brill
13896288,,Yearbook International Tribunal for the Law of the Sea,Brill:  Martinus Nijhoff
15672336,,Medieval Chronicle,Brill: Rodopi
15694070,18796621,International Ford Madox Ford Studies,Brill: Rodopi
15696456,22115897,Baltic Yearbook of International Law,Brill:  Martinus Nijhoff
15714977,,Contemporary Psychoanalytic Studies,Brill
15721892,,"Verhandelingen van het Koninklijk Instituut voor Taal-, Land- en Volkenkunde",Brill
15723070,18795900,Contemporary Cinema,Brill: Rodopi
15742032,,Francopolyphonies,Brill
18716067,18795897,Critical Approaches to Ethnic American Literature,Brill: Rodopi
1871689X,,Spatial Practices,Brill
18720943,18795803,Critical Posthumanisms,Brill: Rodopi
18721737,18796141,Conrad Studies,Brill: Rodopi
18738788,18795943,"Experimental Practices: Technoscience, Art, Literature, Philosophy",Brill: Rodopi
18741793,,Legal History Library,Brill:  Martinus Nijhoff
18759823,,Encyclopaedia Islamica,Brill
18770216,,Early American History Series,Brill
18772129,,Studies in Critical Research on Religion,Brill
22111018,,Neo-Victorian Series,Brill
22113010,,Yearbook of International Organizations,Brill:  Martinus Nijhoff
22124772,,East Asian Comparative Literature and Culture,Brill
22124950,22124969,Critical Animal Studies,Brill: Rodopi
22128662,,Islamicate Intellectual History,Brill
22130519,,Climate and Culture,Brill
22130527,,Brill's Southeast Asian Library,Brill
22130659,22130667,Critical Plant Studies,Brill: Rodopi
22131043,,Muslim World in the Age of the Crusades,Brill
22131426,,Brill's Companions to Classical Reception,Brill
22133836,,International Refugee Law Series,Brill:  Martinus Nijhoff
22133844,,Arts and Archaeology of the Islamic World,Brill
22138439,,China in the World,Brill
22142800,,Johannine Studies,Brill
22145958,,Supplements to the Textual History of the Bible,Brill
22146547,,Brill's Asian Law Series,Brill:  Martinus Nijhoff
22146555,,Islamic Area Studies,Brill
22146563,,Studies on Performing Arts and Literature of the Islamicate World,Brill
22146601,,Islamic Literatures,Brill
22148329,,Science and Religion in East Asia,Brill
22149511,,Brill's Companions to the Musical Culture of Medieval and Early Modern Europe,Brill
2214952X,,Social Sciences of Practice,Brill
23521155,,Thinking in Extremes,Brill
23521325,,Scientific and Learned Cultures and Their Institutions,Brill
23525681,,Silk Road Studies in International Economic Law,Brill:  Martinus Nijhoff
23525746,,Brill's Studies in Catholic Theology,Brill
23525827,,Post-Western Social Sciences and Global Knowledge,Brill
23526394,,Zhuang Traditional Texts,Brill
23527684,,Yearbook of Chinese Theology,Brill
23527919,,Historical Studies of Contemporary China,Brill
23528052,,Leonardo Studies,Brill
23529288,,Theology in Practice,Brill
23529342,,Grammars and Sketches of the World''s Languages,Brill
24054488,,History of Oriental Studies,Brill
24056847,,Theory and Practice of Public International Law,Brill:  Martinus Nijhoff
24058092,,Modern Shi''ah Library,Brill
24059315,,Literary Modernism,Brill
24059331,,World Trade Institute Advanced Studies,Brill:  Martinus Nijhoff
24519553,,New Perspectives in Edward Albee Studies,Brill
24520098,,Studies on East Asian Religions,Brill
24522260,,New Perspectives on the Cold War,Brill
24523283,,Emergence of Natural History,Brill
24682268,,Crime and City in History,Brill
24682314,,Historiography of Rome and its Empire,Brill
24683019,,Explokart Studies in the History of Cartography,Brill
24683027,,Textual History of the Bible,Brill
24683035,,Rethinking Socialism and Reform in China,Brill
24683965,,Brill''s Companions to the Slavic World,Brill
2468578X,,Brill's Specials in Modern History,Brill
708356,2196971X,Ecological Studies,Springer
18798047,,Cognitive Linguistic Studies in Cultural Contexts,John Benjamins Publishing Co.
,18397387,Australian and International Journal of Rural Education,Society for the Provision of Education in Rural Education
,26890208,"Technology, Mind, and Behavior",APA American Psychological Association
,20472501,Health Information Science and Systems,Springer
,21947791,Molecular and Cellular Pediatrics,Springer
,23643420,Biophysics Reports,Science Press (China)
17488133,,World Sustainable Development Outlook,World Association for Sustainable Development
17449413,20513011,Collingwood and British Idealism Studies,Imprint Academic
17350565,26453347,Nivar,IRIMO
,24761362,Journal of Applied Communications,"Association for Communication Excellence in Agriculture, Natural Resources, and Life and Human Sciences"
837407,24758825,Textile Museum Journal,The Textile Museum
0917415X,18825729,Tropics,The Japan Society of Tropical Ecology
,21624968,Current Obesity Reports,Springer
