PrintISSN,EISSN,Title,Publisher,Reason for re-evaluation,Year,Volume,Issue,Page range
244589,,Literary Review,Fairleigh Dickinson University,Publication Concerns,2018,61,1,201-215
13449656,21878870,Lowland Technology International,International Association of Lowland Technology,Radar,2020,22,1,172-177
251569,,Man in India,Serials Publications (a.k.a. International Science Press),Publication Concerns,2017,97,26,107-119
19239335,19239343,Management Science Letters,Growing Science,Publication Concerns,2020,10,16,4045-4054
22747214,2261236X,MATEC Web of Conferences,EDP Sciences,Publication Concerns,2018,251,-,6032
17694493,23523395,Medecine du Sommeil,Elsevier: Masson,Metrics,2018,15,4,208
7592280,17652855,Medecine et Chirurgie du Pied,Springer,Metrics,2017,33,3,60-64
9760911,22498818,Media Watch,Deepak Ranjan Jena,Publication concerns,2021,12,2,288-302
,25443577,Medical Journal of Cell Biology,Sciendo,Radar,2021,9,2,93-99
22842993,25321234,Medicina e Chirurgia della Caviglia e del Piede,Edizioni Minerva Medica,Metrics,2018,42,3,74-75
0971720X,9741283,Medico-Legal Update,Institute of Medico - Legal Publications Pvt Ltd,Publication Concerns,2020,20,3,2328-2332
20283997,,Mediterranean Journal of Chemistry,Mediterranean Journal of Chemistry,Publication Concerns,2019,9,5,337-410
20399340,20392117,Mediterranean Journal of Social Sciences,Mediterranean Center of Social and Educational Research,Publication Concerns,2016,6,5S3,371-379
9319735,,Melliand Textilberichte/International Textile Reports,Deutscher Fachverlag GmbH,Metrics,2016,97,3,142-143
3736873,17969816,Memoranda - Societatis pro Fauna et Flora Fennica,Societas Pro Fauna Et Flora Fennica,Metrics,2018,94,-,119-126
1756834X,,Mental Health in Family Medicine,iMedPub,Publication Concerns,2013,10,2,113-121
20760507,20788312,Metallurgical and Mining Industry,"Ukrmetallurginform""STA"" Ltd.",Publication Concerns,2015,7,12,-
19909233,19998147,Middle East Journal of Scientific Research,International Digital Organization for Scientific Information (IDOSI),Publication Concerns,2014,20,12,-
17418984,17418992,Migration letters,Transnational Press London Ltd,Publication Concerns,2022,19,6,965-981
,13453041,Mitsubishi Electric Advance,Mitsubishi Electric Corporation,Publication Concerns,2018,164,4,18-20
1574017X,1875905X ,Mobile Information Systems,Hindawi Publishing Corporation,Radar,2023,,,Art.No:9916531
12595985,,"Modelling, Measurement and Control A",AMSE Press,Publication Concerns,2018,91,4,222-232
12595969,,"Modelling, Measurement and Control B",International Information and Engineering Technology Association,Publication Concerns,2018,87,3,207-212
12595977,,"Modelling, Measurement and Control C",AMSE Press,Publication Concerns,2018,79,3,146-153
19131844,19131852,Modern Applied Science,Canadian Center of Science and Education,Publication Concerns,2015,9,6,-
2786419,19348428,Moscow University Computational Mathematics and Cybernetics,Springer,Metrics,2017,41,4,193-198
19970854,25876341,Music Scholarship,"Scholarly-Methodical Center ""Innovation Art Studies""",Publication Concerns,2021,,2,232-242
19414900,19414919,Nanoscience and Nanotechnology Letters,American Scientific Publishers,Radar,2017,9,11,1781-1785
,22313206,"National Journal of Physiology, Pharmacy and Pharmacology",Mrs Dipika Charan for MedScience Publishers,Publication Concerns,2017,7,12,1447-1448
,21489637,Natural Volatiles and Essential Oils,Badebio Biotechnololgy Ltd,Publication Concerns,2021,8,4,3313-3324
15708306,,Nederlands Tijdschrift voor Klinische Chemie en Laboratoriumgeneeskunde,Nederlandse Vereniging voor Klinische Chemie en Laboratoriumgeneeskunde,Metrics,2017,42,2,71-72
,22208879,Network Biology,International Academy of Ecology and Environmental Sciences,Publication Concerns,2017,7,4,98-104
10615369,,Neural Parallel and Scientific Computations,"Dynamic Systems and Applications, Dynamic Publishers, Inc,",Publication Concerns,2015,23,4,487-498
18197124,18197132,Neurochemical Journal,Springer,Metrics,2017,11,4,340-345
,13035150,NeuroQuantology ,Anka Publishers,Publication Concerns,2022,20,2,69-75
3005224,,Nieren- und Hochdruckkrankheiten,Dustri-Verlag Dr. Karl Feistle,Metrics,2017,46,12,541-542
19515995,,Obesite,Springer,Metrics,2016,11,4,250-253
3624064,19383851,Occupational Health and Safety,1105 Media Inc.,Publication Concerns,2018,,December,No page range
0030154X,1881154X,Okajimas Folia Anatomica Japonica,Okajimas Folia Anatomica Yaponika Henshubu,Metrics,2017,94,2,65-74
,23314737,Oncoscience,Impact Journals LLC,Publication Concerns,2017,4,43781,199-214
,10121587,Opcion,Universidad del Zulia,Publication Concerns,2020,36,27 (spec. iss),1766-1783
,18579655,Open Access Macedonian Journal of Medical Sciences,Scientific Foundation SPIROSKI,Publication Concerns,2022,10,T7,38-41
,18741290,Open Electrical and Electronic Engineering Journal,Bentham Science Publishers,Publication Concerns,2018,12,1,1-147
18742793,,Open Infectious Diseases Journal,Bentham Open,Publication Concerns,2015,9,1,30-34
,1874088X,Open Materials Science Journal,Bentham Science Publishers,Publication Concerns,2018,12,1,68-81
,18748341,Open Petroleum Engineering Journal,Bentham Science Publishers,Publication Concerns,2018,11,1,1-128
0970020X,22315039,Oriental Journal of Chemistry,"OSPC Oriental Scientific Publishing Company, Inc.",Radar,2018,34,5,2211-2688
305707,,Ornithologische Beobachter,Schweizerische Gesellschaft fuer Vogalkunde und Vogalschutz,Metrics,2017,114,2,87-96
16159071,16118928,Osteopathische Medizin,Elsevier:  Urban und Fischer,Metrics,2017,18,4,30-32
0945358X,16137566,Osterreichische Wasser- Und Abfallwirtschaft,Springer,Metrics,2019,71,3,211-212
12107867,,Otorinolaryngologie a Foniatrie,Nakladatelske Stredisko CLSJE Purkyne,Metrics,2017,66,4,219
18121837,23127791,Pakistan Journal of Biotechnology,Dr. Muhammed Umar Dahot,Radar,2017,14,4,833-838
19967195,,Pakistan Journal of Medical and Health Sciences,Lahore Medical And Dental College,Publication Concerns,2021,15,4,889-890
16805194,19947984,Pakistan Journal of Nutrition,ANSI Asian Network for Scientific Information,Publication Concerns,2018,18,3,201-200
311847,,Parazitologiia,Russian Academy of Sciences,Metrics,2017,51,4,354-365
8879672,,PCI Journal,Precast - Prestressed Concrete Institute,Metrics,2017,62,6,96
11358831,,Pediatria Catalana,Societat Catalana de Pediatria,Metrics,2016,76,4,180-186
1641263,19425473,Pediatric Dentistry,American Academy of Pediatric Dentistry,Publication Concerns,2018,40,7,453-497
2148239X             ,2148239X             ,Pegem Egitim ve Ogretim Dergisi ,Pegem Akademi Yayincilik Egitim Danismanlik Hizmetleri Ticaret A.S.,Radar,2023,13,2,371-385
18060374,21790302,Periodico Tche Quimica,Tche Quimica Group,Publication concerns,2020,17,36,994-1003
9703012,,Pestology,Scientific Publishers (India),Publication Concerns,2021,45,1,36-40
10105409,,Pharma Kritik,Infomed-Verlags-AG,Radar,2021,42,5,No page range
,9758216,Pharma Research,Sudarshan Publications,Publication Concerns,2015,13,1,49-56
11396202,,Pharmaceutical Care Espana,Fundacion Pharmaceutical Care Espana,Metrics,2017,19,2,56-57
9731296,9764062,Pharmacognosy Magazine,Wolters Kluwer: Medknow Publications,Radar,2018,14,59,495-682
9764836,9748490,Pharmacognosy Research,Wolters Kluwer: Medknow Publications,Radar,2018,10,4,437-441
9737847,9762787,Pharmacognosy Reviews,Wolters Kluwer: Medknow Publications,Publication Concerns,2018,12,24,250-255
,18278620,Pharmacologyonline,SILAE (Italo-Latin American Society of Ethnomedicine),Publication Concerns,2021,3,,2099-2108
,15421945,Pharmacopeial Forum,United States Pharmacopeial Convension Inc.,Metrics,2017,43,6,-
318280,,Phlebologie,Societe Francaise De Phlebologie,Metrics,2018,71,4,103-108
12860107,,Phlebolymphology,Les Laboratoires Servier,Metrics,2017,24,3,160-167
8361398,23712236,Physics Essays,Physics Essays Publication,Metrics,2017,30,4,450-454
792047,,Phyton,Verlag Ferdinand Berger and Soehne GmbH,Metrics,2016,56,2,303-312
9725210,25816063,Plant Archives,Dr. R.S. Yadab,Publication Concerns,2020,20,suppl. 2,
9722025,,Plant Cell Biotechnology and Molecular Biology,Society of Biology and Biotechnology,Publication concerns,2021,22,34,145-154
18173721,18188745,Plant Tissue Culture and Biotechnology,Bangladesh Association for Plant Tissue Culture and Biotechnology (BAPTC&B),Metrics,2017,27,2,241-256
2578050,,Pollution Research,EM International,Continuous curation,2021,40,May Suppl.,249-255
0032423X,,Ponte,Vallechi Editore,Publication Concerns,2017,73,10,-
794252,,Postepy Mikrobiologii,Polskie Towarzystwo Mikrobiologow-Polish Society Of Microbiologists,Metrics,2018,57,3,278-285
326291,18054536,Pracovni Lekarstvi,Czech Medical Association J.E. Purkyne,Metrics,2017,69,03-Apr,93-98
0937552X,,Pravention und Rehabilitation,Dustri-Verlag Dr. Karl Feistle,Metrics,2017,29,1,21-19
0032745X ,,Prensa Medica Argentina,Ediciones Médicas del Sur S.R.L.,Publication Concerns,2019,105,11,775-860
18227864,25387111,Problems of Education in the 21st Century,Scientia Socialis Ltd.,Publication Concerns,2019,77,6,806-834
 ,21698767,Proceedings of the International Conference on Industrial Engineering and Operations Management,IEOM Society,Publication Concerns,2021,,,7548-7549
13300652,13339117,Prostor,University of Zagreb Faculty of Architecture,Metrics,2018,26,2,403
25673742,,Prozesswaerme,Vulkan Verlag Gmbh,Metrics,2018,-,8,81-88
332291,24499498,Przeglad Papierniczy,Wydawnictwo SIGMA-NOT,Metrics,2017,73,9,644-650
332623,25104187,Psyche,Verlag Klett-Cotta,Metrics,2017,71,12,1121-1151
0079726X,21025320,Psychiatrie de l'Enfant,Presses Universitaires de France,Metrics,2018,61,2,441
14608235,1755201X,Psychoanalysis and History,Edinburgh University Press,Metrics,2017,19,3,379-406
333077,15536939,Psychology and Education,Psychology and Education,Publication concerns,2019,-,-,-
12452092,17821487,Psychotropes,De Boeck Universite,Metrics,2017,23,2,111-126
2115557,23854472,Quaderns de l'Institut Catala d'Antropologia,Institut Catala d'antropologia,Radar,2018,23,1,85-102
,14791072,Quality in Primary Care,iMedPub,Publication Concerns,2014,22,4,-
339563,,Rassegna di Patologia dell''Apparato Respiratorio,AIPO Ricerche Srl,Metrics,2016,31,6,350-351
20596588,20596596,Remittances Review ,Transnational Press London Ltd.,Publication Concerns,2022,7,2,129-151
,22656294,Res Militaris,Association Res Militaris,Publication Concerns,2022,13,1,393-404
19233981,1923399X,Research in World Economy,Sciendu Press,Publication Concerns,2020,11,6,234-246
1815932X,19936079,Research Journal of Applied Sciences,Medwell Journals,Publication Concerns,2016,11,11,1432-1435
20407459,20407467,"Research Journal of Applied Sciences, Engineering and Technology",Maxwell Scientific Publications,Publication Concerns,2015,10,12,-
18164919,21520461,Research Journal of Botany,Academic Journals Inc.,Publication Concerns,2016,11,11,1432-1435
18191932,21520437,Research Journal of Business Management,Academic Journals Inc.,Publication Concerns,2016,10,4,74-85
18193404,21518297,Research Journal of Cardiology,Academic Journals Inc.,Publication Concerns,2016,9,1,Aug-16
18193420,,Research Journal of Environmental Toxicology,Academic Journals Inc.,Publication Concerns,2016,10,4,213-219
19947909,20772211,Research Journal of Immunology,ANSI Asian Network for Scientific Information,Publication Concerns,2018,11,1,15-21
18157432,21517959,Research Journal of Information Technology,Academic Journals Inc.,Publication Concerns,2016,8,3,98-104
18159346,19936095,Research Journal of Medical Sciences,Medwell Journals,Publication Concerns,2016,10,4,707-710
18193455,21517924,Research Journal of Medicinal Plant,Academic Journals Inc.,Publication Concerns,2016,10,8,457-462
18164935,,Research Journal of Microbiology,Academic Journals Inc.,Publication Concerns,2016,11,6,202-207
19947925,2077222X,Research Journal of Obstetrics and Gynecology,ANSI Asian Network for Scientific Information,Publication Concerns,2018,11,1,41-48
18164943,,Research Journal of Parasitology,Academic Journals Inc.,Publication Concerns,2016,11,3,73-78
,9758585,"Research Journal of Pharmaceutical, Biological and Chemical Sciences",Gravis Bioinfotech PVT Ltd.,Publication Concerns,2017,8,2,1940-1946
18159362,19936109,Research Journal of Pharmacology,Medwell Journals,Publication Concerns,2016,10,1,01-May
18193471,21516081,Research Journal of Phytochemistry,Academic Journals Inc.,Publication Concerns,2016,10,2,75-80
18193552,21516146,Research Journal of Seed Science,Academic Journals Inc.,Publication Concerns,2016,9,2,48-53
18193560,21517258,Research Journal of Toxins,Academic Journals Inc.,Publication Concerns,2016,8,1,Aug-14
19187173,19187181,Review of European Studies,Canadian Center of Science and Education,Publication Concerns,2015,7,11,-
,21460353,Review of International Geographical Education Online,Eskisehir Osmangazi University,Publication Concerns,2021,11,8,1883-1887
21680965,21680973,Reviews of Adhesion and Adhesives,ResearchTrentz Academy Publishing Education Services,Publication Concerns,2022,10,2,18-35
3276716,18517951,Revista Argentina de Clinica Psicologica,Raffles Connect PTE LTD,Radar,2020,29,5,266-281
3264610,18513034,Revista Argentina de Endocrinologia y Metabolismo,Sociedad Argentina de Endocrinologia y Metabolismo,Metrics,2017,54,1,50
15178692,18069940,Revista Brasileira de Medicina do Esporte,Redprint Editora Ltda,Publication Concerns,2023,29,,Article nr:e2023_0054
7175698,7177348,Revista Chilena de Enfermedades Respiratorias,Editorial IKU,Metrics,2016,32,4,254-259
347493,15612945,Revista Cubana de Cirugia,Centro Nacional de Informacion de CIencias Medicas,Metrics,2017,56,4,No page range
347523,1561302X,Revista Cubana de Medicina,Editorial Ciencias Medicas,Metrics,2017,56,2,No page range
347752,26688212,Revista de Chimie (Bucuresti),Syscom 18 s.r.l.,Publication concerns,2020,71,11,101-110
7981171,24779598,Revista de Filosofia (Venezuela),Universidad del Zulia,Publication concerns,2022,39,102,674-687
,16970748,Revista de Toxicologia,Asociacion Espanola de Toxicologia,Metrics,2017,34,2,153-160
18884008,19890389,Revista del Laboratorio Clinico,Elsevier: Doyma,Metrics,2018,11,4,238
,7981015,Revista Espacios,Sociacion de Profesionales y Tecnicos del CONICIT,Publication Concerns,2019,40,44,29-30
1851918,2448492X,Revista Mexicana de Ciencias Politicas y Sociales,"Facultad de Ciencias Politicas y Sociales, UNAM",Continuous curation,2020,65,239,409-414
18416624,22845623,Revista Romana de Medicina de Laborator,"University Press, Tirgu Mures",Metrics,2018,26,4,497-502
11644796,21052603,Revue Francaise de Psychosomatique,Presses Universitaires de France,Metrics,2018,54,2,157-169
1773035X,,Revue Francophone des Laboratoires,Elsevier,Metrics,2016,2016,487,90
18762204,18762212,Revue Francophone d'Orthoptie,Elsevier: Masson,Metrics,2018,11,4,244
16641531,22352155,Revue Internationale de Soins Palliatifs,Editions Medecine et Hygiene,Radar,2019,34,4,139-142
12245984,22483942,Romanian Biotechnological Letters,Editura Universitatea din Bucuresti,Publication Concerns,2016,21,6,12147 - 12154
,9752935,Rupkatha Journal on Interdisciplinary Studies in Humanities,Aesthetics Media Services,Publication Concerns,2022,14,4,001-019
20738099,,Russian Journal of Biopharmaceuticals,Folium Publishing Company,Radar,2020,12,3,57-60
25004255,25001442,Russian Journal of Criminology,Baikal National University of Economics and Law,Publication concerns,2020,14,2,351-366
10623604,16083326,Russian Journal of Developmental Biology,Springer,Metrics,2017,48,6,385-392
2147611X,,Science and Technology,"International Society for Technology, Education, and Science",Publ concerns / Cont Curation,2023,11,5,1346-1365
13479466,,Science and Technology of Energetic Materials,Japan Explosives Society,Metrics,2017,78,43163,105-110
,26586762,Science for Education Today,Novosibirsk State Pedagogical University,Radar,2020,10,6,252-272
19472935,19472943,Science of Advanced Materials,American Scientific Publishers,Radar,2017,9,12,2234-2239
2940337,17775914,Sciences Sociales et Sante,John Libbey Eurotext,Metrics,2018,36,4,5-118
1454864X,23928956,Scientific Bulletin of Naval Academy,Naval Academy Publishing House,Publ. concerns/,2021,24,1,254-263
10589244,1875919X ,Scientific Programming ,Hindawi Publishing Corporation,Radar,2023,,,Art. No:9983781
8903670,19455127,Scientist,Scientist Inc.,Publication Concerns,2018,32,12,No page range
11382074,21719721,SD Revista Medica Internacional Sobre el Sindrome de Down,Elsevier,Metrics,2017,21,3,46-50
19390114,19390122 ,Security and Communication Networks ,Hindawi Limited,Publication Concerns,2023,,,Art.no9998433
1546198X,15461971,Sensor Letters,American Scientific Publishers,Publication Concerns,2017,15,12,1023-1030
17265479,,Sensors and Transducers,International Frequency Sensor Association (IFSA),Publication Concerns,2014,175,7,No page range
13118706,,Silva Balcanica,Bulgarian Academy of Sciences,Metrics,2017,18,1,75-80
18185800,19936125,Social Sciences,Medwell Journals,Publication Concerns,2016,11,27,6572-6577
19622287,,Soins Cadres,Elsevier: Masson,Metrics,2017,26,103,59-61
8990220,13691651,Somatosensory and Motor Research,Informa:  Taylor & Francis,Metrics,2017,34,4,265-272
18193382,,Space Research Journal,Academic Journals Inc.,Publication Concerns,2016,9,1,01-Sep
,27523829,Stochastic Modelling and Computational Sciences ,Roman Science Publications and Distributions,Publication Concerns,2023,3,1,129-136
1582540X,23445467,"Studii si Cercetari Stiintifice, Chimie si Inginerie Chimica, Biotehnologii, Industrie Alimentara",University of Bacau,Continuous curation,2020,21,2,279-288
15381242,15597202,Surveying and Land Information Science,American Congress On Surveying And Mapping,Metrics,2018,77,2,139-151
0039646X,,Svensk Botanisk Tidskrift,Svenska Botaniska Foereningen,Metrics,2017,111,6,348-350
10131469,,SWS - Rundschau,Sozialwissenschaftliche Studiengesellschaft,Radar,2019,59,4,450-464
9758453,9762779,Systematic Reviews in Pharmacy,Wolters Kluwer Health,Publication concerns,2020,11,12,2380-2389
18690459,18692885,Talent Development and Excellence,International Research Association for Talent Development and Excellence (IRATDE),Publication concerns,2019,11,2,Jan-13
,26959933,"TECHNO Review. International Technology, Science and Society Review / Revista Internacional de Tecnologia, Ciencia y Sociedad",Eagora Science,Radar,2023,15,1,91-105
3875547,,Teikyo Medical Journal,Teikyo Daigaku,Metrics,2020,43,3,105-109
4925882,18491537,Tekstil,Croatian Association of Textile Engineers,Metrics,2016,65,44654,136-137
3404927,,Telma,Deutsche Gesellschaft fuer Moor- und Torfkunde e.V.,Metrics,2015,45,,187-196
,20943938,Tesol International Journal,English Language Education Publishing,Publication Concerns,2021,16,5,205-240
1934120,,Test Engineering and Management,"Mattingley Publishing Co., Inc.",Publication Concerns,2020,83,,6592-6599
,21749094,The International Arabic Journal of Antimicrobial Agents ﻿,iMedPub,Publication Concerns,2015,5,1,No page range
2504952,22352112,Therapie Familiale,Editions Medecine et Hygiene,Metrics,2018,39,3,349
0371683X,17849721,Tijdschrift voor Geneeskunde,Tijdschrift Voor Geneeskunde A.S.B.L.,Radar,2020,76,12,580-583
,23339748,Tobacco Regulatory Science,Tobacco Regulatory Science Group,Publication Concerns,2021,7,4,469-473
9462104,,Trace Elements and Electrolytes,Dustri-Verlag Dr. Karl Feistle,Metrics,2016,33,4,162-170
7650019,19585608,Traitement du Signal,Lavoisier,Radar,2023,40,4,2312-2320
21720479,,Translational Biomedicine,iMedPub,Publication Concerns,2015,6,2,No page range
19947941,20772254,Trends in Bioinformatics,ANSI Asian Network for Scientific Information,Publication Concerns,2018,11,2,56-63
18193587,21516065,Trends In Medical Research,Academic Journals Inc.,Publication Concerns,2016,11,2,82-87
13011375,21469113,Turk Serebrovaskuler Hastaliklar Dergisi,Turkish Society of Cerebrovascular Diseases,Metrics,2016,22,3,113-135
,13094653,Turkisch Journal of Computer and Mathematics Education,Turkbilmat Egitim Hizmetleri,Publication Concerns,2020,11,3,814-841
13036521,,Turkish Online Journal of Educational Technology,Sakarya University,Publication Concerns,2017,16,4,187-194
,13096591,Turkish Online Journal of Qualitative Inquiry,Abdullah Kuzu,Publication Concerns,2020,11,4,599-617
23319712,23319720,Universal Journal of Accounting and Finance,Horizon Reseach Publishing,Publication Concerns,2022,10,1,358-366
23323205,23323213,Universal Journal of Educational Research,Horizon Reseach Publishing,Publication Concerns,2020,8,11C,136-148
23323280,23323299,Universal Journal of Electrical and Electronic Engineering,Horizon Research Publishing,Publication Concerns,2019,6,5b,103-114
23323353,23323361,Universal Journal of Mechanical Engineering,Horizon Research Publishing,Publication Concerns,2019,7,6C,32-36
24152897,22183620,Universidad y Sociedad,"University of Cienfuegos, Carlos Rafael Rodriguez",Publication Concerns,2023,15,3,772-780
13165216,24779555,Utopia y Praxis Latinoamericana,Universidad del Zulia,Radar,2020,25,Extra 13,225-243
0174738X,,Verdauungskrankheiten,Dustri-Verlag Dr. Karl Feistle,Metrics,2017,35,1,39-40
,19944659,Veterinary Research,Medwell Journals,Publication Concerns,2015,8,1,01-Aug
,18490336,Vjesnik za Arheologiju i Povijest Dalmatinsku,Archaeological Museum in Split,Metrics,2017,110,2,677-700
496650,,Vogelwarte,Deutsche Ornithologen-Gesellschaft,Metrics,2018,56,3,161-288
428779,,Voprosy Istorii  ,"Rossiiskaya Akademiya Nauk, Institut Istorii (Russian Academy of Sciences, Institute of General Hist)",Publication Concerns,2022,6,1,143-152
23053488,,Water and Ecology: Problems and Solutions,St. Petersburg State University of Architecture and Civil Engineering,Publication concerns,2020,25,3,79-84
17455030,17455049,Waves in Random and Complex Media  ,Taylor & Francis,Radar,2023,33,3,841-859
1735188X,,Webology,Webology Center,Publication Concerns,2021,18,Special issue,1137-1157
15308669,15308677,Wireless Communications and Mobile Computing ,Hindawi Limited,Radar,2023,,,Art.No: 9898169
18293824,,Wisdom,Khachatur Abovyan Armenian State Pedagogical University,Publication Concerns,2022,22,2,277-288
,17433525,WIT Transactions on Biomedicine and Health,WIT press,Publication Concerns,2014,18,,1267-1274
,17433517,WIT Transactions on Information and Communication Technologies,WIT press,Publication Concerns,2014,58,,615-625
,1743355X,WIT transactions on Modelling and Simulation,WIT press,Publication Concerns,2014,60,,1389-1396
18184952,19916426,World Applied Sciences Journal,International Digital Organization for Scientific Information (IDOSI),Publication Concerns,2016,34,5,571-580
15564002,25776584,World Heart Journal,Nova Science Publishers Inc.,Radar,2020,12,4,367-372
,23078960,World Journal of Clinical Cases,Baishideng Publishing Group Inc,Publication concerns,2023,11,4,972-978
,22184333,World Journal of Clinical Oncology,Baishideng Publishing Group Co,Publication Concerns,2018,9,8,200-207
18173055,19904061,World Journal of Medical Sciences,International Digital Organization for Scientific Information (IDOSI),Publication Concerns,2014,10,3,No page range
17467233,,World Journal of Modelling and Simulation,World Academic Union (World Academic Press),Publication Concerns,2017,1,37,44
13091506,13090348,World Journal on Educational Technology,Birlesik Dunya Yenilik Arastirma ve Yayincilik Merkezi,Publication Concerns,2022,14,5,1634-1641
22242864,11092742,WSEAS Transactions on Communications,World Scientific and Engineering Academy and Society,Publication Concerns,2014,13,,No page range
22242872,11092750,WSEAS Transactions on Computers,World Scientific and Engineering Academy and Society,Publication Concerns,2014,13,,No page range
22243488,17905052,WSEAS Transactions on Signal Processing,World Scientific and Engineering Academy and Society,Publication Concerns,2014,13,,No page range
10011749,,Wutan Huatan Jisuan Jishu,China National Publications Import and Export (Group) Corporation,RADAR,2019,41,5,697-704
9170480,18819664,Zairyo to Kankyo,Japan Society Of Corrosion Engineering,Metrics,2018,67,6,267
9467998,,Zeitschrift fur Feldherpetologie,Laurenti Verlag,Metrics,2018,25,2,225-233
14361957,,Zeitschrift fur Soziologie der Erziehung und Sozialisation,Juventa Verlag GmbH,Radar,2019,39,4,400-423
9426086,,Zentralsterilisation - Central Service,mhp-Verlag,Metrics,2017,25,2,111-116
16188950,,"ZFV - Zeitschrift fur Geodasie, Geoinformation und Landmanagement",Verlag Dr. Bernd Wiissner,Radar,2020,,4,254-261
3410552,,Ziegelindustrie International/Brick and Tile Industry International,Bauverlag Gmbh,Metrics,2018,2018,6,44-49
23661313,,ZKG International,Bauverlag BV Gmbh,Metrics,2017,70,12,48-61
