uniqueid,impact_factor
2018JUL1014419ijetv7i33418974,
2022JUL1010029781119910619ch5,
2022JUL10100797830313596517,
2022JUL1010800377206320222101552,1.5
2022JUL1032604csse2023026527,2.2
2023JUL1010029781119910619ch6,
2023JUL101002dac5664,2.1
2023JUL101002dac5675,2.1
2023JUL101007978981999707729,
2023JUL101007s11042023179301,3.6
2023JUL101007s11063023114003,3.1
2023JUL101007s1146802301914w,3
2023JUL101016jegyr202308005,5.2
2023JUL101016jenergy2023129992,9
2023JUL101016jprocs202403221,
2023JUL1010800377206320232234854,1.5
2023JUL1010800739110220242314269,4.4
2023JUL101109icwite59797202410502522,
2023JUL1011111460698412973,2.4
2023JUL10114536327543633077,
2023JUL1012785ijcds140133,
2023JUL102298gensr2303983s,0.753
2023JUL1030955gnj005139,0.3
2023JUL1030955gnj005598,1.8
2023JUL103233jifs222136,2
2023JUL103233jifs223980,2
2023JUL103233jifs235130,2
2023JUL103389frai20241269366,4
2023JUL103390engproc2024062013,
2023JUL1034117bjdv9n12006,
2023JULbsXClqj,
2023JULbYbMdCM,
2023JULfTwgpva,
2023JULHpwKYTs,
2023JULibVCxHz,
2023JULiIHsNmZ,
2023JULjBlqoZM,
2023JULLFOUYIr,
2023JULmyefntb,
2023JULNFgYKtW,
2023JULPadlgtt,
2023JULswIaOsJ,4.7
2023JULVGJgreL,
2023JULvuyYPgL,
2023JULWxxBhAA,
2023JULxPXFXdU,
2023JULZkJBuaY,
2015JUL101007978981194960947,
2022JUL101007978303133231919,
2022JUL101007978981168484539,
2022JUL101007978981194960948,
2022JUL101007978981195868725,
2022JUL101007978981196004813,
2022JUL101007978981991051911,
2022JUL101007s00500023086887,4.1
2022JUL101007s11042022129821,3.6
2022JUL101007s11042022138473,3.6
2022JUL101007s1127602002504y,3
2022JUL101007s11468023017931,3
2022JUL101007s12652022044883,3.662
2022JUL1010800005114420232218164,1.79
2022JUL1010801751347220232185055,
2022JUL10108814024896ac9dcd,2.9
2022JUL101093comjnlbxaa027,1.4
2022JUL101142s0218126622400084,1.278
2022JUL101201978100336834210,
2022JUL1014429dsj7217207,0.667
2022JUL1014704NQ20222011NQ66314,6.861
2022JUL101504ijbet202210047886,1.1
2022JUL1032604csse2023028136,2.2
2022JUL1032604iasc2022024173,2
2022JUL1032604iasc2023034381,2
2022JUL1033436v32i4y202208,
2022JUL103837tiis202212005,0.972
2022JUL1047750pnr20221304006,
2022JUL1047750pnr20221304009,
2022JUL1048047intjecseV14I8401,5.71
2022JUL105755j01itc52131520,1.1
2022JUL109734bpirhllev619261d,
2022JULAOiBVop,
2022JULaymjDbu,
2022JULDyoagoa,
2022JULeQrKvwA,
2022JULGeXRMHo,0.92
2022JULGMIjziP,1.299
2022JULiBVYkGt,
2022JULICywPUc,
2022JULieMvjeM,
2022JULlpCokKt,
2022JULMszKtVY,5.71
2022JULOIiFRFf,
2022JULOJQtCuh,
2022JULqVuYUCy,
2022JULsrACbrF,
2022JULULvkSFd,
2022JULURXfdrX,0.734
2022JULuUjXjrH,
2022JULvdhJoUC,
2022JULWhrmYAq,
2022JULXCANhtg,
2022JULxdozcxo,
2023JUL101002cpe7769,2.57
2023JUL101016jmicrorel2023114930,1.6
2023JUL1032604iasc2023024820,2
2015JUL1010800883951420212001176,2.8
2015JUL10242050327671620226003,0.508
2015JUL103233jifs210540,2
2021JUL101002dac4941,2.1
2021JUL101007s00371021023121,3.5
2021JUL101007s10115021015922,2.7
2021JUL101007s1077202109888y,2.74
2021JUL101007s11063021105462,3.1
2021JUL101007s1127702007907w,2.2
2021JUL101007s1127702108934x,2.2
2021JUL101007s4187002100774z,
2021JUL101016jbspc2021103278,5.1
2021JUL101093comjnlbxab118,1.4
2021JUL101142s0219477522500080,
2021JUL102298gensr2103297u,0.753
2021JUL10242050327671620215020,0.508
2021JUL1032604cmc2022020965,3.1
2021JUL1032604cmc2022021300,3.1
2021JUL1032604iasc2022022021,2
2021JUL1034218ijeet1292021006,
2021JUL1035940ijiteeB82291210220,0.508
2021JUL103934mbe2021309,2.194
2021JUL105565revelcvia1360,
2021JULbIFKsno,
2021JULcGxATCa,
2021JULEPJwNdJ,
2021JULEqYaIzL,
2021JULhOKiyMN,
2021JULNRqMqmq,
2021JULOUepsZO,
2021JULPBZterT,
2021JULQiZQOap,
2021JULRbOhdGD,
2021JULrvVNbNb,
2021JULRWDCMal,
2021JULSfSxuOa,
2021JULUIPEQJR,
2021JULWvMFSxs,
2021JULxJIOHJD,
2021JULyOmHnfn,
2021JULyoyhfON,
2021JULYTJRHrG,
2022JUL101002cpe7109,1.831
2022JUL101007978981165655220,
2022JUL101007978981165655226,
2022JUL101007978981165987432,
2022JUL101007978981169605370,
2022JUL101007978981169650320,
2022JUL101007978981190019828,
2022JUL101007s11042021116082,3.6
2022JUL101016jmatpr202203537,
2022JUL101016jmatpr202204996,
2022JUL101142s0219455422501280,3.6
2022JUL1014704nq2022208NQ44244,0.453
2022JUL1024425aoa2022141655,0.9
2022JUL1032604csse2023024441,2.2
2022JUL1032604csse2023025195,2.2
2022JUL104018IJeC30403,1.7
2022JUL105755j01itc51129467,2.4
2015JUL101016jjnca2020102763,8.7
2020JUL10100797830306346745,
2020JUL10100797830306346747,
2020JUL101007978981155558917,
2020JUL101007s10772020097525,2.74
2020JUL101007s10825020015225,2.1
2020JUL101007s11045020007134,2.5
2020JUL101007s40009020009071,1.1
2020JUL101016jmejo2020104815,2.2
2020JUL101016jpatrec202005002,2.81
2020JUL101049ietspr20190226,1.7
2020JUL10108813616641abc1fe,1.9
2020JUL103233xst200697,3
2020JUL1035940ijiteea80861110120,
2020JUL1036548jismac20204006,
2020JUL1036548jscp20203001,
2020JULaSrasmg,1.08
2020JULBvVSfFn,
2020JULDcGZAHI,
2020JULDHuaHgG,1.31
2020JULdiMlptJ,
2020JULfJLbqmk,0.59
2020JULGssmIpJ,
2020JULGuqFeVu,
2020JULjAZBCks,
2020JULJvBNoDV,
2020JULjWDlxnM,
2020JULjXzIDMS,
2020JULkoxZPqr,
2020JULLvFEslG,
2020JULmmiEqxo,
2020JULOHSNSzI,
2020JULOLCimrV,
2020JULOoiNKFs,
2020JULpOYpMhi,
2020JULPUSFJpD,
2020JULpXUfiOM,
2020JULRJowQiy,
2020JULrsscxpo,
2020JULrSugnjG,
2020JULsCTOpsp,
2020JULtblohho,
2020JULtCCXnXI,
2020JULtdOzKRa,
2020JULvXVunNr,
2020JULwaoJZkY,
2020JULxgiRwUn,
2020JULXRbWpTx,
2020JULxRvuWKZ,
2020JULZOSacpr,
2021JUL101007978981334305471,
2021JUL101007s0037102102154x,3.5
2021JUL101007s10462020099075,12
2021JUL101007s1104501900697w,2.5
2021JUL101007s1265201901655x,5.12
2021JUL1010800377206320211892539,1.5
2021JUL1010801543507520211930004,4.24
2021JUL1010881742659619111012012,0.48
2021JUL101201978100319383819,
2021JUL10242050327671620204093,
2019JUL101002cpe5492,2
2019JUL1010079783030321505124,
2019JUL10100797830303451505,
2019JUL101007978981138676315,
2019JUL101007s1058601818022,4.4
2019JUL101007s1082501901370y,2.1
2019JUL10108813616641ab591a,1.9
2019JUL101109icbsii4913220209167625,
2019JUL101109iccids20198862121,
2019JUL101109TCAD20192927502,2.9
2019JUL1011171jei285053013,1.17
2019JUL10114533734773373497,
2019JUL1018576amis13s131,1.07
2019JUL1035940ijeata2068109119,
2019JUL1035940ijeata9810109119,
2019JUL1035940ijeatf9000088619,
2019JUL1035940ijiteel30171081219,
2019JUL1035940ijrteb10520882s819,
2019JUL1035940ijrteb11110782s319,
2019JUL1036548jtcsst20191001,
2019JUL1036548jtcsst20191005,
2019JUL104018ijiit2019100102,1.8
2019JULbYoQckA,
2019JULcRzgjsr,
2019JULCtsbTXv,
2019JULdlFWRUG,
2019JULeYPyNTX,
2019JULHYJFTGS,
2019JULimcbRJn,
2019JULlrhFPcm,
2019JULmNlJOtp,
2019JULnrYOupg,
2019JULnUDKZqm,
2019JULnvkvnDz,
2019JULpAeAOsR,
2019JULPcIBcxl,
2019JULqXftGvQ,
2019JULrYbTgze,
2019JULsZEgKGL,
2019JULXrKHHkL,
2019JULxskkgXa,
2019JULXuABoQb,
2020JUL1010079789811501463102,
2020JUL101007978981150199945,
2020JUL101007s1104201907872y,3.6
2020JUL101016jprocs202001011,
2020JUL101016jprocs202001012,
2020JUL101016jprocs202001015,
2020JUL101016jprocs202001032,
2020JUL101016jprocs202001065,
2020JUL101016jprocs202004100,
2020JUL1010800952813x20201764630,2.2
2020JUL101093comjnlbxz017,1.4
2020JUL101109jstsp20202972161,1.4
2020JUL101109taslp20202986877,5.4
2020JUL1021741573405615666191111142039,1.4
2020JUL1024425aoa2020134058,0.9
2020JUL1036548jeea20201003,
2020JUL1036548jei20201006,
2020JUL1036548jitdw20201003,
2020JUL1040189781799830382ch009,
2020JUL107555jbr3420190043,2.3
2018JUL101016jcompeleceng201803015,4.3
2018JUL101504ijista2018091590,0.72
2018JUL34fjdk,
2018JULdhaRcqW,
2018JULfgbusMH,
2018JULFRGKcqB,
2018JULFUDkWwg,
2018JULGnOuNBH,
2018JULGrfXjmf,
2018JULKYaxWUN,
2018JULluAfrML,
2018JULrNvyrmj,
2018JULsDKSIHA,
2018JULuyWrJwE,
2018JULvK34ie3,
2018JULvv56ve7,
2018JULwTDPLnR,
2018JULZpPspQW,
2019JUL101007978981137166028,
2019JUL101007s0050001903962z,4.1
2019JUL101007s1058601822005,4.4
2019JUL101007s1058601823532,4.4
2019JUL101007s10586019029073,4.4
2019JUL101007s1104501805682,2.5
2019JUL101007s4187001802723,
2019JUL101109tnsre20182887089,4.9
2019JUL101504ijcaet2019100449,
2019JUL102298gensr1903805u,0.753
2019JUL1036548jismac20191005,
2019JUL103906elk180413,1.1
